ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
test-708	Sutter represented Team Canada extensively during his junior career at the under-18 and under-20 levels. He competed in two IIHF World U18 Championships in 2006 and 2007, losing the bronze medal game in both tournaments. Shortly after being drafted into the NHL in the summer of 2007, Sutter was chosen to represent Team Canada at the 2007 Super Series, an eight-game showdown between Canada and Russia's under-20 teams, where father Brent was head coach. Playing Game 7 in his hometown Red Deer, he scored a goal and was named player of the game.	his	474	Sutter	285	TRUE	Brent	434	FALSE	http://en.wikipedia.org/wiki/Brandon_Sutter
development-71	Their poor receptions disillusioned Murnau, and he quit Fox to journey for a while in the South Pacific. Together with documentary film pioneer Robert Flaherty, Murnau travelled to Bora Bora to realize the film Tabu in 1931. Flaherty left after artistic disputes with Murnau who had to finish the movie on his own.	his	306	Flaherty	225	FALSE	Murnau	268	TRUE	http://en.wikipedia.org/wiki/F._W._Murnau
development-235	There was also a great deal of domestic pressure on him at the time which he found unbearable. His wife Sarah had proved to be an unsuitable partner for a high ranking politician as she was prone to outburst of hysteria and hypochondria. There exist letters written by Sarah's aunt Emily Eden which frequently describes her niece's strange behaviour.	her	320	Sarah	269	FALSE	Emily Eden	282	TRUE	http://en.wikipedia.org/wiki/Nocton_Hall
test-719	Two years after Kara's birth the family returned to Australia (1906) and settled in Mysia, North West of Bendigo. Kara was awarded a scholarship to attend Bendigo High School. After finishing school Kara became a teacher's assistant at Stuart Mill State School near St Arnaud, Victoria until she met and married William Stanley McGreevy (Known as Stan) in 1925.	she	292	Kara	199	TRUE	Victoria	277	FALSE	http://en.wikipedia.org/wiki/Kara_Moana_Healey
validation-87	Brown was born in Redcar and was educated at Coatham School. Following a period in the RAF, he entered the geology department of Durham University in 1947, graduating with First Class Honours in 1950. The Professor of Geology, Lawrence Wager recognised Brown's abilities, and took him with him as a research student following his move to the Chair in Geology at Oxford University.	him	281	Lawrence Wager	227	FALSE	Brown	253	TRUE	http://en.wikipedia.org/wiki/George_Malcolm_Brown
test-1277	In 2011, Jonas Gahr St*re, the then Foreign Minister of Norway which is an EFTA member state, said that EFTA/EEA membership for the microstates was not the appropriate mechanism for their integration into the internal market due to their different requirements than large countries such as Norway, and suggested that a simplified association would be better suited for them. Espen Barth Eide, St*re's successor, responded to the Commission's report in late 2012 by questioning whether the microstates have sufficient administrative capabilities to meet the obligations of EEA membership. However, he stated that Norway was open to the possibility of EFTA membership for the microstates if they decide to submit an application, and that the country had not made a final decision on the matter.	he	597	Espen Barth Eide	375	TRUE	St*re	393	FALSE	http://en.wikipedia.org/wiki/Microstates_and_the_European_Union
test-1416	Joan Callamezzo (Mo Collins) is the hostess of Pawnee Today, a local news magazine/talk show that combines elements of NBC's Today show and news shows like Nancy Grace. She often serves as a parody of the media in her tendency to turn small matters into big stories and her desire to find the most negative possible aspects of any given story. Joan refers to herself as a ``legendary newswoman'' and is more intimidating than other members of the Pawnee media, as Leslie declares that she ``runs this town''.	She	169	Joan Callamezzo	0	TRUE	Nancy Grace	156	FALSE	http://en.wikipedia.org/wiki/List_of_Parks_and_Recreation_characters
test-358	Her fictional oeuvre, which includes The Old Man and the Wolves, Murder in Byzantium, and Possessions, while often allegorical, also approaches the autobiographical in some passages, especially with one of the protagonists of Possessions, Stephanie Delacour--a French journalist--who can be seen as Kristeva's alter ego. Murder in Byzantium deals with themes from orthodox Christianity and politics; she referred to it as ``a kind of anti-Da Vinci Code''.	she	400	Stephanie Delacour	239	TRUE	Kristeva	299	FALSE	http://en.wikipedia.org/wiki/Julia_Kristeva
development-650	Riley Perrin (Chelsea Kane): Ben's close friend and Danny's best friend since they were little. Although Riley dates Ben on and off during the first few seasons of the show, she falls for Danny towards the end of Season 4, and subsequently begin a relationship with him.	him	266	Ben	117	FALSE	Danny	188	TRUE	http://en.wikipedia.org/wiki/Baby_Daddy
test-256	In his early years De Roos was inspired by the Arts and Crafts Movement. An example of this can be found in his edition of Kunst en Maatschappij (Art and Society (1903)). As a supporter of Ferdinand Domela Nieuwenhuis, De Roos attempted to create the ideal of ''Art to the People``. Between 1907 and 1947 he was employed by the type foundry Amsterdam (known previously as N. Tetterode), where he further developed his lithographic skills.	he	305	Ferdinand Domela Nieuwenhuis	189	FALSE	De Roos	219	TRUE	http://en.wikipedia.org/wiki/S.H._de_Roos
development-1921	Balagan deceives and outwits Hugo into helping him or staying out of his way. Katharine Isabelle as Danni -- a bartender at the hotel. Danni serves as a source of information. Melanie Papalia as Pippa -- younger sister of Rosemary (Balagan's deceased fianc*e), she is determined to find out who killed Rosemary.	she	261	Pippa	195	TRUE	Rosemary	222	FALSE	http://en.wikipedia.org/wiki/Endgame_(TV_series)
validation-309	Wilhelm Broeffel (6 February 1915 -- 24 June 1944) was a highly decorated Major in the Wehrmacht during World War II. He was also a recipient of the Knight's Cross of the Iron Cross.	He	118	Wilhelm Broeffel	0	TRUE	Major	74	FALSE	http://en.wikipedia.org/wiki/Wilhelm_Broeffel
test-396	The damage resulted in a six-month closure but the management remained positive and rebuilt and refurbished by September re-opening on the 21st 1999. 2003 was a pivotal year for the track because Rex Perkins died after a long illness and his son Richard and nephew Rob dedicated a new *3 million extension to his name.	his	309	Richard	246	FALSE	Rob	265	FALSE	http://en.wikipedia.org/wiki/Peterborough_Greyhound_Stadium
development-113	Aki and Mitsuko's homeroom teacher begins class, but suddenly brandishes a machine gun and opens fire, killing all the girls except Mitsuko. Before she can fire another round, Sur and Taeko burst in, grab Mitsuko, and the three hide. Another homeroom teacher, who has just killed her own entire class, finds and kills Taeko and Sur.	her	280	Taeko	184	FALSE	Mitsuko	205	FALSE	http://en.wikipedia.org/wiki/Tag_(film)
development-39	Recurring injuries kept Andreev from competing for several years. He injured his back while training quads which forced him to leave skating in 2005. He did not compete in the 2005-2006 and 2006-2007 seasons. Andreev returned to competition in the 2007-2008 season and was coached in Detroit by Callaghan. He placed 8th at the 2008 Canadian Championships.	He	306	Andreev	209	TRUE	Callaghan	295	FALSE	http://en.wikipedia.org/wiki/Fedor_Andreev
test-1208	The Stopwatch Gang, which was famous for its speedy heists--including the 1974 robbery of $700,000 in gold bars from the Ottawa Airport--was named for a stopwatch Reid wore. They were known for non-violent methods and politeness to victims. The gang's story is recorded in several television documentaries and books, including Mitchell's autobiography, This Bank Robber's Life, which he wrote from prison.	he	384	Mitchell	327	TRUE	This Bank Robber	353	FALSE	http://en.wikipedia.org/wiki/Paddy_Mitchell
test-1434	Cara received two honors for her career in March 2004, with her induction into the Ciboney Cafe's Hall of Fame and a Lifetime Achievement Award presented at the sixth annual Prestige Awards. In June 2005, Cara won the third round of the NBC television series Hit Me, Baby, One More Time, performing ``Flashdance (What a Feeling)'' and covered Anastacia's song ``I'm Outta Love'' with her current all-female band, Hot Caramel.	her	384	Cara	205	TRUE	Anastacia	343	FALSE	http://en.wikipedia.org/wiki/Irene_Cara
development-370	In December 1939, the United States Cavalry consisted of two mechanized and twelve horse regiments of 790 horses each. Chief of Cavalry John K. Herr, a proponent of horse troops (``conservative and downright mossback'' according to Allan Millett yet ``noble and tragic in his loyalty to horse'' according to Roman Jarymowycz), intended to increase them to 1275 horses each.	his	272	John K. Herr	136	TRUE	Allan Millett	232	FALSE	http://en.wikipedia.org/wiki/Horses_in_World_War_II
test-1837	Deyo), is an American R&B singer and hit songwriter best known for his songwriting abilities and arrangements on ``Jenny From The Block'' for Jennifer Lopez and subsequently writing the book ``Jenny & Becky From The Block'' after the release of ``Becky From The Block'' by Becky G (the infamous Yellow Ranger in 2017's Power Rangers), which she covered as her first single as a solo artist.	she	341	Jennifer Lopez	142	FALSE	Becky G	273	TRUE	http://en.wikipedia.org/wiki/Andre_Deyo
test-1488	A Critical Reader, published by MIT Press. In 2010, Chiu joined the Sunday Arts television show on PBS WNET to conduct a series of interviews with cultural leaders. Interview subjects have included William Kentridge, Shirin Neshat, Yoko Ono, Tan Dun, Chuck Close and Antony Gormley. In addition to her museum work, Chiu is a regular speaker at international conferences and symposia and has delivered lectures at such institutions as Harvard University, Columbia University, Yale University and the China Central Academy of Fine Arts in Beijing, among others.	her	298	Yoko Ono	232	FALSE	Chiu	315	TRUE	http://en.wikipedia.org/wiki/Melissa_Chiu
development-91	The explanation offered by Muirhead is more prosaic than the fanciful rumours suggested. He examined the clothing left behind in the lighthouse and concluded that James Ducat and Thomas Marshall had gone down to the western landing stage, and that Donald MacArthur (the 'Occasional') had left the lighthouse during heavy rain in his shirt sleeves.	his	329	Thomas Marshall	179	FALSE	Donald MacArthur	248	TRUE	http://en.wikipedia.org/wiki/Flannan_Isles_Lighthouse
development-1038	The film's title is adapted from the famous short story ``Bhoomiyude Avakashikal'' by Vaikom Muhammad Basheer although the film is not based on the story. Also the film is done as a tribute to Basheer and his ideologies. Chandran says, ``No, the film is not based on the Basheer story, but it is a film that is dedicated to him.	him	324	Chandran	221	FALSE	Basheer	271	TRUE	http://en.wikipedia.org/wiki/Bhoomiyude_Avakashikal
development-1944	In the inn, the adults examine the goo covering only the blade of an ax and find out that the goo is an alien bacteria that feeds off metal, sucking the metal from human blood (humans have metal/iron in their blood) and killing them. Outside, Iron puts himself back together, and Claire and Max are still locked in Jenny's dead car (it was revealed that Iron causes static electricity and effect electronics which make the car inoperable) as Iron tries to grab Claire. She is touched, but not harmed.	She	469	Jenny	315	FALSE	Claire	461	TRUE	http://en.wikipedia.org/wiki/Iron_Invader
test-293	Possibly on February 12 (according to other sources February 10), 1242 Henry died near Martirano in Calabria after a fall from his horse when he was moved there from Nicastro. Some chroniclers report that it had been an attempted suicide. His father had him buried with royal honours in the cathedral of Cosenza, in an antique Roman sarcophagus. Frederick, the only surviving son of Henry (VII), was named in the testament of his grandfather Frederick II, were the Emperor entrusted him with the Duchy of Austria, the Marquisate of Styria and 10,000 uncias.	his	426	Frederick	346	TRUE	Henry	383	FALSE	http://en.wikipedia.org/wiki/Henry_(VII)_of_Germany
test-108	Rachel's storylines ranged from parental bereavement and first love to an inappropriate relationship with an older man. Rachel departed on 11 March 2009, following Stasey's decision to quit the series to focus on her studies. Former The Sleepover Club star Caitlin Stasey was offered the part of Rachel Kinski when she was fifteen years old.	she	315	Caitlin Stasey	257	TRUE	Rachel Kinski	296	FALSE	http://en.wikipedia.org/wiki/Rachel_Kinski
development-496	Handel went into partnership with John James Heidegger, the theatrical impresario who held the lease on the King's Theatre in the Haymarket where the operas were presented and started a new opera company with a new prima donna, Anna Strada. One of Handel's librettists, Paolo Rolli, wrote in a letter (the original is in Italian) that Handel said that Strada ``sings better than the two who have left us, because one of them (Faustina) never pleased him at all and he would like to forget the other (Cuzzoni).''	him	450	Paolo Rolli	270	FALSE	Handel	335	TRUE	http://en.wikipedia.org/wiki/Lotario
test-1827	as Polly (Elizabeth) Gray, n*e Shelby: The aunt of Tommy and his siblings, and treasurer of the Peaky Blinders. She led the organisation when Tommy, Arthur, and John were fighting in World War I. Polly's two children, Anna and Michael, were taken away from her as infants.	her	257	Polly	196	TRUE	Anna	218	FALSE	http://en.wikipedia.org/wiki/Peaky_Blinders_(TV_series)
development-1164	Though Lassiter saves his life in ``S.E.I.Z.E. the Day'', he does not give Lassiter any thanks or credit for it. In the next episode of the season, though Lassiter, Juliet, Shawn, and Gus work together to catch a bad guy and nab him against all odds, Trout fires Lassiter and Juliet, refires Gus and Shawn, and is in turn fired himself for his recklessness in a hostage situation.	him	229	Lassiter	263	FALSE	Gus	292	FALSE	http://en.wikipedia.org/wiki/Psych
development-706	A longtime Chicago -area resident, she credited her experience as an athlete with allowing her to see beyond the racism and hatred that surrounded her as a child. White died of pancreatic cancer at Northwestern Memorial Hospital, according to Sarah Armantrout, a longtime friend who was with White when she died.	she	303	Sarah Armantrout	243	FALSE	White	292	TRUE	http://en.wikipedia.org/wiki/Willye_White
test-624	The critic Kenneth Tynan was present when the scene was shot:``Francesca does it very sportingly and with no fuss ... though of course the set is closed, great curtains are drawn around the acting area ... and the wardrobe mistress rushes to cover Francesca with a dressing gown the instant Roman says, 'Cut'.'' Annis continued to be a leading television actress throughout the 1970s, 1980s and 1990s, appearing in series such as Edward the Seventh as Lillie Langtry, a role she starred in with Lillie;	she	475	Annis	312	TRUE	Lillie Langtry	452	FALSE	http://en.wikipedia.org/wiki/Francesca_Annis
development-1634	He ties her to the chair while having a conversation with Howard, taunting him about the affair (even going as far as to joke and laugh about it), he then leaves to hide the officer's body and get rid of the police car, Howard felt outraged at his wife's infidelity, the two then argued about the fate of their marriage. Silk returns, ungagging Mo and Tre as well, Howard decides to let Silk take her, and when Silk asks for Mo's opinion, Silk smacks and warns him to not insult ``his woman'' again.	him	461	Tre	352	FALSE	Howard	365	FALSE	http://en.wikipedia.org/wiki/Uninvited_Guest
test-1011	It is a based on a novel of the same name by Jay Anson and the remake of the 1979 film, as well as the ninth installment of the Amityville film series, which documents the alleged experiences of the Lutz family after they moved into a house on Long Island which had been the scene of a mass murder committed by Ronald DeFeo Jr., who murdered six members of his family there in 1974.	his	357	Jay Anson	45	FALSE	Ronald DeFeo Jr.	311	TRUE	http://en.wikipedia.org/wiki/The_Amityville_Horror_(2005_film)
validation-112	In his 2003 biography, Becoming Jane Austen, Jon Spence suggests that Jane Austen actually used her and Tom LeFroy's personalities as the models for Mr. Darcy and Elizabeth Bennet, but not in an expected way. Spence suggests that Jane Austen used Tom Lefroy's more gregarious personality as the model for the novel's heroine Elizabeth Bennet, and her own measured demeanor was used as the model for the male protagonist, Mr.	her	347	Jane Austen	230	FALSE	Elizabeth Bennet	325	TRUE	http://en.wikipedia.org/wiki/Thomas_Langlois_Lefroy
development-1175	Despenser's ruthless expansion of the de Clare lordship of Glamorgan in Wales led directly to the troubles of Edward II's later reign, including a rebellion in the Welsh Marches, the defeat of the Earl of Lancaster at the Battle of Boroughbridge, and eventually the deposition of the king by Roger Mortimer and Queen Isabella in 1326. Gilbert de Clare was the son of Gilbert de Clare, 7th Earl of Gloucester, -- known as Gilbert 'the Red' -- who in 1290 married Joan of Acre, daughter of Edward I. As a condition for the marriage, the earl had to surrender all his lands to the king, only to have them returned jointly to himself and his wife for the lifetime of either.	his	561	Gilbert	421	TRUE	Edward I.	488	FALSE	http://en.wikipedia.org/wiki/Gilbert_de_Clare,_8th_Earl_of_Gloucester
development-1469	He declared that if James were dead, he would have no objection to swearing allegiance to William and Mary, because they would be in possession, while the claim of the Prince of Wales would be 'dubious' (Nichols, 740). The death of James, however, was followed by the oath of abjuration, and neither Brokesby nor his friends were prepared to declare that the kingship of William of Orange was founded on right.	his	313	James	232	FALSE	Brokesby	300	TRUE	http://en.wikipedia.org/wiki/Francis_Brokesby
test-1999	She was delivered to the Norwegian passenger ship company Det Bergenske Dampskibsselskab of Bergen in 1905. Irma sailed for the company until she was attacked and sunk by two MTBs belonging to the Royal Norwegian Navy on 13 February 1944. After delivery, Irma served on the Bergen-- Newcastle route until she was transferred to Norway in the autumn of 1921 to carry out tourist voyages to the North Cape and Spitsbergen in the summer seasons.	she	305	Irma	255	TRUE	Bergen	274	FALSE	http://en.wikipedia.org/wiki/SS_Irma_(1905)
test-1709	They had a dinner party for four of Hazen's clients and Theodore Weed, who works for Hazen writing copy. After dinner, Hazen dismissed his wife, saying that they were going to discuss business. The Hazens used separate bedrooms, so that was the last she saw of her husband. Wolfe won't as yet accept a job from Mrs. Hazen, and tells her to wait and see what the police turn up.	her	333	Wolfe	274	FALSE	Mrs	311	TRUE	http://en.wikipedia.org/wiki/Death_of_a_Demon
development-304	Early in 1934, Addams had a heart attack and Smith nursed her at her home, neglecting her own illness. Smith succumbed to pneumonia, fell into a coma and then died on 22 February 1934. Addams was considered too ill to descend the stairs to attend Smith's memorial service, which she could hear from her second-floor room.	she	279	Addams	185	TRUE	Smith	247	FALSE	http://en.wikipedia.org/wiki/Mary_Rozet_Smith
